Catagory ,Tool ,Location ,Training Required?,Service/Cost ,Academic level ,Who can use this space?,Notes,Software,Website
Saws,"Kalamazoo K10B 10"" Abrasive Chop Saw","Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48112","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,,,
Specialty tools,Tumbler,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48113","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,,,
Other,Arbor press,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48115",,,,Anyone but COE is prioritized ,,,
Specialty tools,Corner notcher,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48116",,,,Anyone but COE is prioritized ,,,
Other,Disc sander,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48117",,,,Anyone but COE is prioritized ,,,
Specialty tools,Tire changer,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48118",,,,Anyone but COE is prioritized ,,,
Specialty tools,Slip roll sr24,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48119",,,,Anyone but COE is prioritized ,,,
Outsource vendor,Sendcutsend,"Western US: 4855 Longley Lane, Reno, NV 89502
Eastern US: 129 Cleveland Drive, Paris, KY 40361",No,Price varies by service ,N/A,N/A,"Laser cutting, CNC, waterjet, anodizing, bending, forming, post processing,
assembly, powder coating, plating, finishing ",N/A,https://sendcutsend.com/
Outsource vendor,GoEngineer,"310 Depot St. Ann Arbor, MI 48104",No,Price varies by service ,N/A,N/A,"High quality production level 3D printing and design services

-FDM
-Polyjet
-Dental
-Metal
-SAF
-SLA
-SLS
-P3",N/A,https://www.goengineer.com/
3D printing,Bambu X1-Carbon,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff",Students provide material,Any,"STAMPS Students only
","All users must complete demo courses listed on the Canvas website.
Machines must be reserved, send email to appropriate parties listed on 
Canvas. 

Materials: Must be approved by studio staff

Tolerance:  +/- 0.4mm (+/- 0.015"") 
Bed: 256 x 256 x 256mm³
Print speed: 500 mm/s",N/A,STAMPS Studio Canvas 
3D printing,Bambu X1E,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff",TBD,TBD,STAMPS Students only,"All users must complete demo courses listed on the Canvas website.
Machines must be reserved, send email to appropriate parties listed on 
Canvas. 

Materials: Must be approved by studio staff

Tolerance:  +/- 0.4mm (+/- 0.015"") 
Bed: 256 x 256 x 256 mm³
Print speed: 500 mm/s",,STAMPS Studio Canvas 
